layouts/layout3/layout3_7agents_236.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_237.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_238.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_239.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_24.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_240.txt, 126, 0.0, Distributed
layouts/layout3/layout3_7agents_241.txt, 77, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_242.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_243.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_244.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_245.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_246.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_247.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_248.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_249.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_25.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_250.txt, 168, 7.152557373046875e-07, Distributed
layouts/layout3/layout3_7agents_251.txt, 217, 0.0, Distributed
layouts/layout3/layout3_7agents_252.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_253.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_254.txt, 196, 0.0, Distributed
layouts/layout3/layout3_7agents_255.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_256.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_257.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_258.txt, 154, 0.0, Distributed
layouts/layout3/layout3_7agents_259.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_26.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_260.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_261.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_262.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_263.txt, 182, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_264.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_265.txt, 126, 7.152557373046875e-07, Distributed
layouts/layout3/layout3_7agents_266.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_267.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_268.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_269.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_27.txt, 161, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_270.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_271.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_272.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_273.txt, 252, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_274.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_275.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_276.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_277.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_278.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_279.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_28.txt, 252, 0.0, Distributed
layouts/layout3/layout3_7agents_280.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_281.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_282.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_283.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_284.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_285.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_286.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_287.txt, 119, 0.0, Distributed
layouts/layout3/layout3_7agents_288.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_289.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_29.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_290.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_291.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_292.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_293.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_294.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_295.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_296.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_297.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_298.txt, 105, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_299.txt, 140, 0.0, Distributed
layouts/layout3/layout3_7agents_3.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_30.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_300.txt, 42, 0.0, Distributed
layouts/layout3/layout3_7agents_301.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_302.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_303.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_304.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_305.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_306.txt, 182, 0.0, Distributed
layouts/layout3/layout3_7agents_307.txt, 189, 0.0, Distributed
layouts/layout3/layout3_7agents_308.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_309.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_31.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_310.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_311.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_312.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_313.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_314.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_315.txt, 91, 0.0, Distributed
layouts/layout3/layout3_7agents_316.txt, None, Not Solvable, Distributed
